公司代號,公司名稱,合計：共 861 家,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
2440,太空梭,,9.71,3.33,655.92,1.79,1.62
2441,超豐電子,,30.08,26.22,2760.73,24.53,21.69
2442,新美齊,,19.07,-8.33,278.90,-9.33,-7.21
2443,新利虹,,-2.89,-35.37,153.21,-38.10,-38.13
2444,兆勁,,14.21,0.54,330.17,-4.01,-4.01
2448,晶電,,19.73,7.28,5730.56,-3.85,-4.96
2449,京元電子,,30.36,19.23,4868.86,14.59,11.52
2450,神腦,,12.25,1.55,8674.59,2.05,1.76
2451,創見資訊,,28.36,21.45,5689.77,12.02,10.09
2453,凌群,,21.18,1.80,1059.21,2.47,1.90
2454,聯發科,,33.50,2.16,56082.72,13.38,11.84
2455,全新,,34.57,23.42,493.16,18.08,15.00
2456,奇力新,,24.80,12.81,1332.24,13.14,11.00
2457,飛宏科技,,13.32,-0.81,2830.83,1.88,1.00
2458,義隆,,43.83,14.29,1589.24,9.98,7.86
2459,敦吉,,12.04,5.49,2494.56,5.90,4.71
2460,建通精密,,10.56,-0.94,794.38,-2.28,-2.28
2461,光群雷射,,24.84,6.13,1059.41,0.36,-1.48
2462,良得電,,10.21,0.58,911.64,-4.89,-4.00
2464,盟立,,15.18,4.81,2558.40,-1.83,-1.84
2465,麗臺科技,,13.75,-2.40,652.19,13.56,12.94
2466,冠西電,,5.76,-13.82,337.95,-16.11,-14.33
2467,志聖工業,,31.88,10.28,1105.04,5.64,4.50
2468,華經,,15.11,2.89,299.18,2.55,2.09
2471,資通,,24.04,-8.52,140.67,-16.15,-20.77
2472,立隆電子,,22.92,10.34,1533.92,4.60,2.61
2474,可成科技,,48.95,36.71,14579.69,21.16,14.43
2475,華映,,31.99,13.84,9065.59,21.85,20.25
2476,鉅祥,,28.71,13.59,1150.21,7.00,3.92
2477,美隆電,,27.04,12.68,853.84,12.75,10.33
2478,大毅,,18.50,6.96,872.34,5.46,4.10
2480,敦陽科技,,23.48,8.08,1079.84,8.03,6.82
2481,強茂,,21.90,7.05,2892.32,8.44,7.11
2482,連宇,,46.59,-8.15,186.25,-16.53,-16.53
2483,百容,,29.26,11.40,391.43,0.32,0.03
2484,希華,,17.58,7.05,719.33,2.63,2.46
2485,兆赫電子,,13.11,3.53,2121.45,-7.71,-6.32
2486,一詮精密,,10.26,-1.95,1013.75,-8.45,-8.08
2488,漢平,,29.08,15.99,519.71,9.53,8.05
